acc,height0622,coordinates
IL419,21.783995348736106,"(309, 169)"
IL419,25.849569158345133,"(510, 170)"
IL419,9.680614237296137,"(703, 170)"
IL419,9.245446603313308,"(307, 271)"
IL419,22.12109930265074,"(506, 271)"
IL419,26.775449871260577,"(123, 274)"
IL419,21.272338506227435,"(708, 274)"
IL419,28.00301563193549,"(894, 276)"
IL419,30.91386448733148,"(120, 382)"
IL419,21.04406743727301,"(894, 383)"
IL419,19.95589986438961,"(309, 384)"
IL419,25.311592360871167,"(897, 485)"
IL419,32.26635009482943,"(126, 493)"
IL419,6.916229242230854,"(711, 496)"
IL419,16.59070671425023,"(509, 601)"
IL419,5.511358532815708,"(305, 607)"
IL419,22.449488966907232,"(124, 608)"
IL419,35.00321104852814,"(899, 609)"
IL420,9.727401108352815,"(311, 85)"
IL420,20.133025690335632,"(899, 88)"
IL420,32.58318811489688,"(122, 91)"
IL420,33.56323069248955,"(315, 181)"
IL420,34.99666352831044,"(713, 182)"
IL420,23.78630694928448,"(902, 182)"
IL420,37.26054412532537,"(517, 183)"
IL420,31.30370886698808,"(123, 185)"
IL420,32.539508487189515,"(120, 272)"
IL420,1.50390579466894,"(899, 273)"
IL420,31.622733180051736,"(312, 276)"
IL420,36.22253417507661,"(509, 276)"
IL420,34.61417596612139,"(705, 277)"
IL420,30.94591725965373,"(712, 377)"
IL420,24.87733050773231,"(900, 378)"
IL420,33.461738155176114,"(313, 379)"
IL420,34.04760880194228,"(513, 382)"
IL420,32.58840304501265,"(119, 385)"
IL420,25.1681786798256,"(898, 495)"
IL420,30.889630130379825,"(120, 496)"
IL420,32.778355070599,"(704, 498)"
IL420,1.2718715519373296,"(310, 500)"
IL420,31.18164791176669,"(120, 609)"
IL420,3.151680062406431,"(313, 611)"
IL420,0.1379988384878903,"(709, 611)"
IL420,24.462151328226064,"(898, 612)"
IL421,24.32961331686615,"(707, 102)"
IL421,19.616568563833173,"(896, 104)"
IL421,27.38374267009998,"(510, 198)"
IL421,28.141553615373613,"(315, 200)"
IL421,18.72682397238892,"(896, 201)"
IL421,25.958720804339816,"(122, 202)"
IL421,0.796417143149232,"(707, 205)"
IL421,25.475085953682072,"(512, 315)"
IL421,20.67228799880968,"(898, 317)"
IL421,25.47449349400593,"(310, 319)"
IL421,24.414800392639695,"(121, 320)"
IL421,26.82135461039849,"(708, 320)"
IL421,20.659174344535376,"(893, 417)"
IL421,22.437474013383564,"(307, 419)"
IL421,26.3833398935635,"(119, 420)"
IL421,27.16045908801043,"(511, 421)"
IL421,25.57956356562237,"(706, 422)"
IL421,22.68782227209003,"(309, 511)"
IL421,27.63725359083264,"(118, 512)"
IL421,1.5440285223336891,"(505, 512)"
IL421,1.0263828373471453,"(702, 512)"
IL421,21.801898974725503,"(887, 512)"
IL421,20.783615259580724,"(894, 611)"
IL421,24.826356818293924,"(118, 612)"
IL421,0.2900356801546859,"(308, 612)"
IL422,19.04316871221521,"(312, 70)"
IL422,44.10458813118578,"(120, 75)"
IL422,35.14490334406718,"(897, 180)"
IL422,10.559469939273672,"(511, 181)"
IL422,21.290414956526902,"(308, 183)"
